Código	Descrição	Unidade	Preço
73887/001	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A -  DN 75 MM - INCLUSIVE TRANSPORTE	M	2,79
73887/002	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 100 - INCLUSIVE TRANSPORTE	M	3,35
73887/003	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 150 - INCLUSIVE TRANSPORTE	M	5,83
73887/004	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 200 - INCLUSIVE TRANSPORTE	M	7,46
73887/005	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 250 MM - INCLUSIVE TRANSPORTE	M	9,01
73887/006	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 300 - INCLUSIVE TRANSPORTE	M	10,19
73887/007	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 350 MM - INCLUSIVE TRANSPORTE	M	11,91
73887/008	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 400 MM - INCLUSIVE TRANSPORTE	M	13,62
73887/009	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 450 MM - INCLUSIVE TRANSPORTE	M	15,32
73887/010	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 500 MM - INCLUSIVE TRANSPORTE	M	16,99
73887/011	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 600 MM - INCLUSIVE TRANSPORTE	M	20,51
73887/012	ASSENTAMENTO SIMPLES DE TUBOS DE FERRO FUNDIDO (FOFO) C/ JUNTA ELASTIC A - DN 700 MM - INCLUSIVE TRANSPORTE	M	25,80
