Código	Descrição	Unidade	Preço
55	"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 1/2"" - LIGACAO PREDIAL DE AGUA (NTS 179)"	UN	1,70
61	"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 20 MM X 3/4"" - LIGACAO PREDIAL DE AGUA (NTS 179)"	UN	1,60
62	"ADAPTADOR DE COMPRESSAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 32 MM X 1"" - LIGACAO PREDIAL DE AGUA (NTS 179)"	UN	3,33
60	"ADAPTADOR EM PVC, COM REGISTRO, PARA PEAD, 20 MM X 3/4"" - LIGACAO PREDIAL DE AGUA"	UN	2,20
10963	"PERFIL ""I"" DE ACO LAMINADO, ""I"" 203 X 34,3"	M	135,11
4715	|EM PROCESSO DE DESATIVACAO| PEDRA ARDOSIA CINZA IRREGULAR	M2	12,75
851	!EM PROCESSO DE DESATIVACAO!  BUCHA E ARRUELA EM ALUMINIO FUNDIDO, PARA ELETRODUTO, 20 MM (3/4'') COM ROSCA	CJ	0,64
852	!EM PROCESSO DE DESATIVACAO!  BUCHA E ARRUELA EM ALUMINIO FUNDIDO, PARA ELETRODUTO, 32 MM (1 1/4'') COM ROSCA	CJ	1,46
853	!EM PROCESSO DE DESATIVACAO!  BUCHA E ARRUELA EM ALUMINIO FUNDIDO, PARA ELETRODUTO, 40 MM (1 1/2'') COM ROSCA	CJ	1,48
21094	"!EM PROCESSO DE DESATIVACAO!  DOBRADICA FERRO GALV 3 X 2 1/2"" COM ANEIS"	UN	2,13
643	!EM PROCESSO DE DESATIVACAO! !BETONEIRA 320 L, DIESEL, POTENCIA DE 5,5 HP, SEM CARREGADOR MECANICO (LOCACAO)	H	2,78
148	!EM PROCESSO DE DESATIVACAO! ADITIVO A BASE DE EMULSAO DE POLIMERO SINTETICO PARA ARGAMASSA E CHAPISCO SIKAFIX SUPER OU EQUIVALENTE	L	9,67
159	!EM PROCESSO DE DESATIVACAO! ADUBO BOVINO	M3	119,91
7332	!EM PROCESSO DE DESATIVACAO! AGENTE DE DESFORMA PARA CONCRETO	L	9,04
20006	!EM PROCESSO DE DESATIVACAO! ALIZAR / GUARNICAO 5 X 2CM MADEIRA CEDRO/IMBUIA/JEQUITIBA OU SIMILAR	M	3,47
187	!EM PROCESSO DE DESATIVACAO! ALIZAR / GUARNICAO 5 X 2CM MADEIRA IPE/MOGNO/CEREJEIRA OU SIMILAR	M	6,03
348	!EM PROCESSO DE DESATIVACAO! ARBUSTO REGIONAL ALTURA MAIOR QUE 1M	UN	58,50
376	!EM PROCESSO DE DESATIVACAO! ARMARIO PLASTICO PARA BANHEIRO, DE EMBUTIR, UMA PORTA COM ESPELHO, DE * 35 X 45 * CM	UN	40,00
4757	!EM PROCESSO DE DESATIVACAO! ASFALTADOR	H	14,12
12332	!EM PROCESSO DE DESATIVACAO! AUTOMATICO DE BOIA INFERIOR 10A/250V	CJ	41,93
9	!EM PROCESSO DE DESATIVACAO! BALDE PLASTICO CAPACIDADE 4L	UN	4,18
545	!EM PROCESSO DE DESATIVACAO! BANCA MARMORE BRANCO NACIONAL E = 3CM, POLIDO C/ FURO PARA CUBA	M2	485,18
